age,job,marital,education,loan,contact,campaign,previous,poutcome,emp.var.rate,cons.price.idx,euribor3m,nr.employed,y
53,blue-collar,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
35,admin.,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
51,blue-collar,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
36,blue-collar,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
43,technician,2,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
59,services,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
24,management,2,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
37,entrepreneur,0,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
38,services,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
54,management,1,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
45,technician,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
43,services,0,high.school,0,1,3,0,0,1.1,93.994,4.857,5191,0
46,management,0,basic.9y,0,1,2,0,0,1.1,93.994,4.857,5191,0
44,services,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
51,admin.,2,basic.6y,0,1,2,0,0,1.1,93.994,4.857,5191,0
28,services,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
37,blue-collar,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
34,technician,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
42,blue-collar,0,basic.9y,1,1,2,0,0,1.1,93.994,4.857,5191,1
36,admin.,0,university.degree,1,1,3,0,0,1.1,93.994,4.857,5191,0
57,management,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
34,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
41,technician,0,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
38,blue-collar,2,basic.9y,1,1,2,0,0,1.1,93.994,4.857,5191,0
45,management,1,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
42,technician,0,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
48,blue-collar,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
43,blue-collar,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
33,services,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
32,services,2,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
39,blue-collar,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
44,blue-collar,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
35,unemployed,0,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
36,services,2,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
36,student,2,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
55,housemaid,1,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
59,admin.,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
40,services,0,high.school,0,1,3,0,0,1.1,93.994,4.857,5191,0
35,admin.,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
40,technician,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
58,retired,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
42,technician,0,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
35,admin.,2,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
45,blue-collar,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
39,admin.,0,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
50,services,1,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
44,admin.,0,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
56,blue-collar,0,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
48,admin.,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
57,retired,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
36,technician,2,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
34,management,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
34,services,2,basic.9y,0,1,2,0,0,1.1,93.994,4.857,5191,0
32,technician,2,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
36,technician,2,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
36,blue-collar,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
33,services,2,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
40,technician,1,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
41,blue-collar,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
51,services,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
36,technician,0,professional.course,1,1,3,0,0,1.1,93.994,4.857,5191,0
53,services,0,high.school,1,1,3,0,0,1.1,93.994,4.857,5191,0
45,management,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
33,admin.,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
33,admin.,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
42,technician,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
43,admin.,1,basic.9y,0,1,3,0,0,1.1,93.994,4.857,5191,0
42,admin.,0,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
27,blue-collar,2,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
34,self-employed,2,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
54,management,1,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
47,management,1,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
32,admin.,2,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
34,services,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
47,technician,2,basic.9y,0,1,4,0,0,1.1,93.994,4.857,5191,0
51,retired,0,professional.course,0,1,3,0,0,1.1,93.994,4.857,5191,0
47,blue-collar,0,basic.6y,0,1,2,0,0,1.1,93.994,4.857,5191,0
56,technician,0,basic.4y,1,1,3,0,0,1.1,93.994,4.857,5191,0
53,admin.,0,basic.9y,0,1,3,0,0,1.1,93.994,4.857,5191,0
36,blue-collar,0,basic.9y,1,1,2,0,0,1.1,93.994,4.857,5191,0
42,blue-collar,1,basic.9y,1,1,2,0,0,1.1,93.994,4.857,5191,0
44,blue-collar,1,basic.6y,0,1,2,0,0,1.1,93.994,4.857,5191,0
39,housemaid,0,basic.9y,1,1,3,0,0,1.1,93.994,4.857,5191,1
37,admin.,2,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
36,services,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
42,management,1,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
31,admin.,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
45,blue-collar,0,basic.4y,1,1,2,0,0,1.1,93.994,4.857,5191,0
37,technician,2,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
47,self-employed,0,professional.course,0,1,2,0,0,1.1,93.994,4.857,5191,0
49,blue-collar,1,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
36,admin.,0,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
35,services,1,high.school,0,1,3,0,0,1.1,93.994,4.857,5191,0
42,admin.,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
57,housemaid,1,basic.4y,1,1,2,0,0,1.1,93.994,4.857,5191,0
42,admin.,0,university.degree,1,1,3,0,0,1.1,93.994,4.857,5191,0
41,blue-collar,0,basic.4y,1,1,2,0,0,1.1,93.994,4.857,5191,0
54,management,1,university.degree,1,1,3,0,0,1.1,93.994,4.857,5191,0
27,admin.,2,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
36,admin.,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
33,admin.,1,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
56,retired,0,basic.6y,0,1,2,0,0,1.1,93.994,4.857,5191,0
42,blue-collar,0,basic.9y,0,1,2,0,0,1.1,93.994,4.857,5191,0
43,services,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
54,management,2,basic.9y,1,1,3,0,0,1.1,93.994,4.857,5191,0
53,admin.,2,basic.6y,1,1,2,0,0,1.1,93.994,4.857,5191,0
54,technician,0,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
40,housemaid,2,professional.course,0,1,4,0,0,1.1,93.994,4.857,5191,0
26,admin.,2,university.degree,1,1,3,0,0,1.1,93.994,4.857,5191,0
33,admin.,0,high.school,0,1,3,0,0,1.1,93.994,4.857,5191,0
36,admin.,0,high.school,0,1,3,0,0,1.1,93.994,4.857,5191,0
29,services,2,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
36,blue-collar,0,basic.9y,1,1,2,0,0,1.1,93.994,4.857,5191,0
35,management,0,high.school,1,1,5,0,0,1.1,93.994,4.857,5191,0
50,self-employed,2,university.degree,1,1,5,0,0,1.1,93.994,4.857,5191,0
49,entrepreneur,0,high.school,1,1,4,0,0,1.1,93.994,4.857,5191,0
36,blue-collar,2,high.school,1,1,3,0,0,1.1,93.994,4.857,5191,0
32,services,2,high.school,1,1,3,0,0,1.1,93.994,4.857,5191,0
49,admin.,0,basic.9y,0,1,3,0,0,1.1,93.994,4.857,5191,0
58,blue-collar,1,basic.4y,1,1,2,0,0,1.1,93.994,4.857,5191,0
52,technician,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
50,services,1,professional.course,0,1,2,0,0,1.1,93.994,4.857,5191,0
33,entrepreneur,0,university.degree,1,1,3,0,0,1.1,93.994,4.857,5191,0
57,blue-collar,0,basic.4y,0,1,2,0,0,1.1,93.994,4.857,5191,0
55,technician,0,professional.course,0,1,2,0,0,1.1,93.994,4.857,5191,0
38,management,0,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
38,services,0,high.school,1,1,3,0,0,1.1,93.994,4.857,5191,0
53,admin.,0,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
43,unemployed,2,university.degree,0,1,4,0,0,1.1,93.994,4.857,5191,0
36,blue-collar,2,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
32,blue-collar,0,basic.9y,0,1,2,0,0,1.1,93.994,4.857,5191,0
33,services,0,basic.4y,0,1,3,0,0,1.1,93.994,4.857,5191,0
58,entrepreneur,0,basic.4y,1,1,2,0,0,1.1,93.994,4.857,5191,0
57,management,0,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
45,technician,0,high.school,1,1,3,0,0,1.1,93.994,4.857,5191,0
46,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
36,technician,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
41,self-employed,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
57,admin.,1,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
56,management,1,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
37,blue-collar,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
37,blue-collar,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
46,admin.,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
22,blue-collar,2,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
43,services,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
41,technician,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
38,admin.,2,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
33,admin.,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
49,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
33,admin.,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
34,management,2,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
41,self-employed,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
44,services,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,1
35,admin.,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
42,admin.,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
45,admin.,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
36,technician,0,professional.course,0,1,2,0,0,1.1,93.994,4.857,5191,0
29,blue-collar,1,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
41,self-employed,0,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
52,services,2,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
42,entrepreneur,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
52,services,1,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
39,admin.,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
36,services,0,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
41,admin.,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
55,technician,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
30,blue-collar,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
27,services,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
34,technician,2,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
43,entrepreneur,0,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
49,blue-collar,0,basic.9y,0,1,2,0,0,1.1,93.994,4.857,5191,0
58,management,0,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
43,technician,0,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
43,self-employed,1,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
30,self-employed,2,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
27,services,2,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
37,technician,0,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
46,housemaid,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
35,blue-collar,0,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,0
47,admin.,1,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
26,housemaid,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
45,management,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
34,admin.,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
42,technician,0,professional.course,0,1,1,0,0,1.1,93.994,4.857,5191,1
38,blue-collar,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
60,management,0,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
48,admin.,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
47,technician,0,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
40,admin.,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
48,unemployed,2,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
54,housemaid,0,basic.4y,0,1,2,0,0,1.1,93.994,4.857,5191,0
40,blue-collar,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
42,technician,1,high.school,0,1,4,0,0,1.1,93.994,4.857,5191,0
52,self-employed,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
31,blue-collar,2,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
32,services,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
44,admin.,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
52,admin.,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
42,management,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,1
43,management,0,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
31,admin.,1,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
57,blue-collar,1,basic.4y,0,1,2,0,0,1.1,93.994,4.857,5191,0
57,retired,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
38,services,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
42,retired,0,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
35,technician,0,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
34,technician,0,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
41,services,0,basic.9y,0,1,2,0,0,1.1,93.994,4.857,5191,0
38,technician,0,professional.course,1,1,1,0,0,1.1,93.994,4.857,5191,0
53,admin.,0,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
33,admin.,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
45,entrepreneur,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
40,technician,2,university.degree,0,1,3,0,0,1.1,93.994,4.857,5191,0
33,technician,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
48,blue-collar,0,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
43,entrepreneur,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
37,management,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
50,services,0,basic.9y,1,1,1,0,0,1.1,93.994,4.857,5191,0
59,entrepreneur,0,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
52,blue-collar,0,basic.4y,0,1,2,0,0,1.1,93.994,4.857,5191,0
38,blue-collar,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
39,blue-collar,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
39,blue-collar,0,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
38,admin.,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
30,services,2,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
38,admin.,1,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
39,technician,1,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
44,admin.,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
36,admin.,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
41,blue-collar,0,basic.6y,0,1,1,0,0,1.1,93.994,4.857,5191,0
35,blue-collar,0,basic.9y,0,1,2,0,0,1.1,93.994,4.857,5191,0
41,technician,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
35,admin.,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
33,self-employed,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
32,entrepreneur,2,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
30,self-employed,2,high.school,1,1,1,0,0,1.1,93.994,4.857,5191,0
43,admin.,0,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
46,admin.,0,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
35,admin.,1,high.school,1,1,2,0,0,1.1,93.994,4.857,5191,0
34,admin.,2,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
39,admin.,2,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
42,entrepreneur,0,basic.6y,0,1,2,0,0,1.1,93.994,4.857,5191,0
57,retired,0,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
40,technician,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
42,blue-collar,0,high.school,1,1,3,0,0,1.1,93.994,4.857,5191,1
40,technician,0,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
41,blue-collar,0,basic.4y,0,1,1,0,0,1.1,93.994,4.857,5191,0
41,blue-collar,0,basic.4y,1,1,1,0,0,1.1,93.994,4.857,5191,0
35,admin.,0,basic.6y,1,1,1,0,0,1.1,93.994,4.857,5191,0
23,admin.,2,university.degree,0,1,3,0,0,1.1,93.994,4.857,5191,0
45,housemaid,0,high.school,0,1,2,0,0,1.1,93.994,4.857,5191,0
42,admin.,0,high.school,0,1,3,0,0,1.1,93.994,4.857,5191,0
41,admin.,1,high.school,0,1,4,0,0,1.1,93.994,4.857,5191,0
46,management,0,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
30,blue-collar,0,basic.4y,0,1,2,0,0,1.1,93.994,4.857,5191,0
24,technician,2,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
34,admin.,2,university.degree,1,1,2,0,0,1.1,93.994,4.857,5191,0
59,blue-collar,0,basic.4y,1,1,2,0,0,1.1,93.994,4.857,5191,0
32,technician,0,professional.course,0,1,3,0,0,1.1,93.994,4.857,5191,0
33,technician,0,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
32,admin.,0,university.degree,0,1,1,0,0,1.1,93.994,4.857,5191,0
46,management,0,university.degree,0,1,2,0,0,1.1,93.994,4.857,5191,0
57,technician,0,professional.course,1,1,4,0,0,1.1,93.994,4.857,5191,0
42,technician,0,basic.9y,0,1,1,0,0,1.1,93.994,4.857,5191,0
48,admin.,0,professional.course,1,1,2,0,0,1.1,93.994,4.857,5191,0
34,services,0,high.school,0,1,1,0,0,1.1,93.994,4.857,5191,0
32,admin.,2,university.degree,1,1,1,0,0,1.1,93.994,4.857,5191,0
